ListingKey,ListingID,HostID,Capacity,MinNights,MaxNights,Price,EstRevenue,EstOccupancy,Avail30Days,Avail60Days,Avail90Days,Avail365Days,TotalReviews,ReviewsLast12Months,ReviewsLast30Days,ReviewsLastYear,ReviewsPerMonth,Rating,AccuracyRating,CleanlinessRating,CheckInRating,CommunicationRating,LocationRating,ValueRating
4669,15465050,44350279,2,30,31,166.93,0,0,30,60,90,365,194,0,0,0,1.65,4.3,4.7,4.5,4.8,4.7,4.9,4.4
4670,15468038,21105084,3,30,1125,,,0,0,0,0,0,23,0,0,0,0.2,4.8,4.9,5,5,5,4.9,4.8
4671,15473752,71176935,2,30,1125,48.18,5782,120,17,47,77,257,52,2,0,2,0.44,4.8,4.8,4.8,4.8,4.8,4.6,4.8
4672,15476794,99346083,2,30,31,131.37,0,0,30,60,90,365,0,0,0,0,,,,,,,,
4673,15478604,36861300,3,30,1125,,,0,0,0,0,0,96,0,0,0,0.82,4.5,4.7,4.1,4.8,4.9,4.6,4.6
4674,15481609,99392252,2,30,1124,,,0,0,0,0,0,192,0,0,0,1.63,4.7,4.9,4.6,4.8,4.9,4.5,4.7
4675,15481730,1093220,4,30,1125,,,0,0,0,0,0,30,0,0,1,0.26,4.7,4.9,4.4,4.9,5,5,4.8
4676,15482081,99392252,2,30,1124,,,0,0,0,0,0,186,0,0,0,1.58,4.6,4.8,4.6,4.9,4.8,4.5,4.7
4677,15482082,25673940,2,30,34,,,0,0,0,0,0,5,0,0,0,0.04,4.6,5,4.2,4.8,5,4.8,4.8
4678,15482512,99392252,2,30,1124,,,0,0,0,0,0,170,0,0,0,1.44,4.5,4.7,4.5,4.8,4.8,4.4,4.6
4679,15482966,75458625,1,30,1125,88.73,10648,120,12,32,51,285,23,2,0,1,0.22,5,5,4.9,5,4.9,4.9,4.9
4680,15483201,75458625,2,30,1125,136.73,8204,60,24,44,66,285,43,1,0,1,0.37,4.8,4.9,4.9,5,4.9,4.8,4.8
